section,organ,variable,role,modeling_form_or_weighting,baseline_missingness_denominator,n,missing_n,missing_percent,model_handling,missing
Exposure,Heart,NO2 waitlist-period exposure,Primary exposure; modeled independently from other pollutants,Day-weighted mean exposure during observed waitlist follow-up; HR per 10-ppb increase,Person waitlist episodes through 2025 with positive pollutant-specific follow-up,83553,1407,1.6839610785968189,Rows with missing pollutant exposure were excluded from that pollutant-specific Cox model,"1,407/83,553 (1.7%)"
Exposure,Heart,O3 waitlist-period exposure,Primary exposure; modeled independently from other pollutants,Day-weighted mean exposure during observed waitlist follow-up; HR per 10-ppb increase,Person waitlist episodes through 2023 with positive pollutant-specific follow-up,72609,1295,1.783525458276522,Rows with missing pollutant exposure were excluded from that pollutant-specific Cox model,"1,295/72,609 (1.8%)"
Exposure,Heart,PM2.5 waitlist-period exposure,Primary exposure; modeled independently from other pollutants,Day-weighted mean exposure during observed waitlist follow-up; HR per 5-ug/m3 increase,Person waitlist episodes through 2023 with positive pollutant-specific follow-up,72609,1295,1.783525458276522,Rows with missing pollutant exposure were excluded from that pollutant-specific Cox model,"1,295/72,609 (1.8%)"
Exposure,Kidney,NO2 waitlist-period exposure,Primary exposure; modeled independently from other pollutants,Day-weighted mean exposure during observed waitlist follow-up; HR per 10-ppb increase,Person waitlist episodes through 2025 with positive pollutant-specific follow-up,642220,14465,2.2523434337143033,Rows with missing pollutant exposure were excluded from that pollutant-specific Cox model,"14,465/642,220 (2.3%)"
Exposure,Kidney,O3 waitlist-period exposure,Primary exposure; modeled independently from other pollutants,Day-weighted mean exposure during observed waitlist follow-up; HR per 10-ppb increase,Person waitlist episodes through 2023 with positive pollutant-specific follow-up,568012,13237,2.330408512496215,Rows with missing pollutant exposure were excluded from that pollutant-specific Cox model,"13,237/568,012 (2.3%)"
Exposure,Kidney,PM2.5 waitlist-period exposure,Primary exposure; modeled independently from other pollutants,Day-weighted mean exposure during observed waitlist follow-up; HR per 5-ug/m3 increase,Person waitlist episodes through 2023 with positive pollutant-specific follow-up,568012,13237,2.330408512496215,Rows with missing pollutant exposure were excluded from that pollutant-specific Cox model,"13,237/568,012 (2.3%)"
Exposure,Liver,NO2 waitlist-period exposure,Primary exposure; modeled independently from other pollutants,Day-weighted mean exposure during observed waitlist follow-up; HR per 10-ppb increase,Person waitlist episodes through 2025 with positive pollutant-specific follow-up,237771,4987,2.0973962341917223,Rows with missing pollutant exposure were excluded from that pollutant-specific Cox model,"4,987/237,771 (2.1%)"
Exposure,Liver,O3 waitlist-period exposure,Primary exposure; modeled independently from other pollutants,Day-weighted mean exposure during observed waitlist follow-up; HR per 10-ppb increase,Person waitlist episodes through 2023 with positive pollutant-specific follow-up,209450,4565,2.1795177846741467,Rows with missing pollutant exposure were excluded from that pollutant-specific Cox model,"4,565/209,450 (2.2%)"
Exposure,Liver,PM2.5 waitlist-period exposure,Primary exposure; modeled independently from other pollutants,Day-weighted mean exposure during observed waitlist follow-up; HR per 5-ug/m3 increase,Person waitlist episodes through 2023 with positive pollutant-specific follow-up,209450,4565,2.1795177846741467,Rows with missing pollutant exposure were excluded from that pollutant-specific Cox model,"4,565/209,450 (2.2%)"
Exposure,Lung,NO2 waitlist-period exposure,Primary exposure; modeled independently from other pollutants,Day-weighted mean exposure during observed waitlist follow-up; HR per 10-ppb increase,Person waitlist episodes through 2025 with positive pollutant-specific follow-up,52577,619,1.1773208817543792,Rows with missing pollutant exposure were excluded from that pollutant-specific Cox model,"619/52,577 (1.2%)"
Exposure,Lung,O3 waitlist-period exposure,Primary exposure; modeled independently from other pollutants,Day-weighted mean exposure during observed waitlist follow-up; HR per 10-ppb increase,Person waitlist episodes through 2023 with positive pollutant-specific follow-up,45425,576,1.268024215740231,Rows with missing pollutant exposure were excluded from that pollutant-specific Cox model,"576/45,425 (1.3%)"
Exposure,Lung,PM2.5 waitlist-period exposure,Primary exposure; modeled independently from other pollutants,Day-weighted mean exposure during observed waitlist follow-up; HR per 5-ug/m3 increase,Person waitlist episodes through 2023 with positive pollutant-specific follow-up,45425,576,1.268024215740231,Rows with missing pollutant exposure were excluded from that pollutant-specific Cox model,"576/45,425 (1.3%)"
Outcome and time scale,Heart,NO2 model adverse-event indicator,Survival outcome/time variable,Death or delisting due to deterioration before NO2 data end,Person waitlist episodes through 2025 with positive pollutant-specific follow-up,83553,0,0,Required for model fitting,"0/83,553 (0.0%)"
Outcome and time scale,Heart,NO2 model follow-up time,Survival outcome/time variable,"Days from waitlist start to adverse event, competing/nonadverse waitlist exit, administrative censoring, or NO2 data end",Person waitlist episodes through 2025 with positive pollutant-specific follow-up,83553,0,0,Required for model fitting,"0/83,553 (0.0%)"
Outcome and time scale,Heart,O3 model adverse-event indicator,Survival outcome/time variable,Death or delisting due to deterioration before O3 data end,Person waitlist episodes through 2023 with positive pollutant-specific follow-up,72609,0,0,Required for model fitting,"0/72,609 (0.0%)"
Outcome and time scale,Heart,O3 model follow-up time,Survival outcome/time variable,"Days from waitlist start to adverse event, competing/nonadverse waitlist exit, administrative censoring, or O3 data end",Person waitlist episodes through 2023 with positive pollutant-specific follow-up,72609,0,0,Required for model fitting,"0/72,609 (0.0%)"
Outcome and time scale,Heart,PM2.5 model adverse-event indicator,Survival outcome/time variable,Death or delisting due to deterioration before PM2.5 data end,Person waitlist episodes through 2023 with positive pollutant-specific follow-up,72609,0,0,Required for model fitting,"0/72,609 (0.0%)"
Outcome and time scale,Heart,PM2.5 model follow-up time,Survival outcome/time variable,"Days from waitlist start to adverse event, competing/nonadverse waitlist exit, administrative censoring, or PM2.5 data end",Person waitlist episodes through 2023 with positive pollutant-specific follow-up,72609,0,0,Required for model fitting,"0/72,609 (0.0%)"
Outcome and time scale,Kidney,NO2 model adverse-event indicator,Survival outcome/time variable,Death or delisting due to deterioration before NO2 data end,Person waitlist episodes through 2025 with positive pollutant-specific follow-up,642220,0,0,Required for model fitting,"0/642,220 (0.0%)"
Outcome and time scale,Kidney,NO2 model follow-up time,Survival outcome/time variable,"Days from waitlist start to adverse event, competing/nonadverse waitlist exit, administrative censoring, or NO2 data end",Person waitlist episodes through 2025 with positive pollutant-specific follow-up,642220,0,0,Required for model fitting,"0/642,220 (0.0%)"
Outcome and time scale,Kidney,O3 model adverse-event indicator,Survival outcome/time variable,Death or delisting due to deterioration before O3 data end,Person waitlist episodes through 2023 with positive pollutant-specific follow-up,568012,0,0,Required for model fitting,"0/568,012 (0.0%)"
Outcome and time scale,Kidney,O3 model follow-up time,Survival outcome/time variable,"Days from waitlist start to adverse event, competing/nonadverse waitlist exit, administrative censoring, or O3 data end",Person waitlist episodes through 2023 with positive pollutant-specific follow-up,568012,0,0,Required for model fitting,"0/568,012 (0.0%)"
Outcome and time scale,Kidney,PM2.5 model adverse-event indicator,Survival outcome/time variable,Death or delisting due to deterioration before PM2.5 data end,Person waitlist episodes through 2023 with positive pollutant-specific follow-up,568012,0,0,Required for model fitting,"0/568,012 (0.0%)"
Outcome and time scale,Kidney,PM2.5 model follow-up time,Survival outcome/time variable,"Days from waitlist start to adverse event, competing/nonadverse waitlist exit, administrative censoring, or PM2.5 data end",Person waitlist episodes through 2023 with positive pollutant-specific follow-up,568012,0,0,Required for model fitting,"0/568,012 (0.0%)"
Outcome and time scale,Liver,NO2 model adverse-event indicator,Survival outcome/time variable,Death or delisting due to deterioration before NO2 data end,Person waitlist episodes through 2025 with positive pollutant-specific follow-up,237771,0,0,Required for model fitting,"0/237,771 (0.0%)"
Outcome and time scale,Liver,NO2 model follow-up time,Survival outcome/time variable,"Days from waitlist start to adverse event, competing/nonadverse waitlist exit, administrative censoring, or NO2 data end",Person waitlist episodes through 2025 with positive pollutant-specific follow-up,237771,0,0,Required for model fitting,"0/237,771 (0.0%)"
Outcome and time scale,Liver,O3 model adverse-event indicator,Survival outcome/time variable,Death or delisting due to deterioration before O3 data end,Person waitlist episodes through 2023 with positive pollutant-specific follow-up,209450,0,0,Required for model fitting,"0/209,450 (0.0%)"
