figure_path,description
output/figures/pollution_absolute_1yr_survival_maps/figure_pollution_absolute_1yr_survival_maps.png,"ZCTA maps of model-implied 1-year risk of death/deterioration. The all-organ panel displays within-organ relative risk levels to emphasize geographic pattern despite different baseline failure rates across organs; individual organ panels retain absolute percent-risk legends. Predictions use single-pollutant prior-year cause-specific Cox models adjusted for age, sex, race, ZCTA SVI proxy, and center-stratified baseline hazards. Covariates are fixed at organ-specific reference values and the 365-day baseline cumulative hazard is averaged across listing-center strata by model-cohort center distribution."
output/figures/pollution_absolute_1yr_survival_maps/figure_pollution_absolute_1yr_survival_maps.pdf,"ZCTA maps of model-implied 1-year risk of death/deterioration. The all-organ panel displays within-organ relative risk levels to emphasize geographic pattern despite different baseline failure rates across organs; individual organ panels retain absolute percent-risk legends. Predictions use single-pollutant prior-year cause-specific Cox models adjusted for age, sex, race, ZCTA SVI proxy, and center-stratified baseline hazards. Covariates are fixed at organ-specific reference values and the 365-day baseline cumulative hazard is averaged across listing-center strata by model-cohort center distribution."
output/figures/pollution_absolute_1yr_survival_maps/figure_pollution_absolute_1yr_risk_maps_kidney.png,"ZCTA maps of model-implied 1-year risk of death/deterioration. The all-organ panel displays within-organ relative risk levels to emphasize geographic pattern despite different baseline failure rates across organs; individual organ panels retain absolute percent-risk legends. Predictions use single-pollutant prior-year cause-specific Cox models adjusted for age, sex, race, ZCTA SVI proxy, and center-stratified baseline hazards. Covariates are fixed at organ-specific reference values and the 365-day baseline cumulative hazard is averaged across listing-center strata by model-cohort center distribution."
output/figures/pollution_absolute_1yr_survival_maps/figure_pollution_absolute_1yr_risk_maps_liver.png,"ZCTA maps of model-implied 1-year risk of death/deterioration. The all-organ panel displays within-organ relative risk levels to emphasize geographic pattern despite different baseline failure rates across organs; individual organ panels retain absolute percent-risk legends. Predictions use single-pollutant prior-year cause-specific Cox models adjusted for age, sex, race, ZCTA SVI proxy, and center-stratified baseline hazards. Covariates are fixed at organ-specific reference values and the 365-day baseline cumulative hazard is averaged across listing-center strata by model-cohort center distribution."
output/figures/pollution_absolute_1yr_survival_maps/figure_pollution_absolute_1yr_risk_maps_heart.png,"ZCTA maps of model-implied 1-year risk of death/deterioration. The all-organ panel displays within-organ relative risk levels to emphasize geographic pattern despite different baseline failure rates across organs; individual organ panels retain absolute percent-risk legends. Predictions use single-pollutant prior-year cause-specific Cox models adjusted for age, sex, race, ZCTA SVI proxy, and center-stratified baseline hazards. Covariates are fixed at organ-specific reference values and the 365-day baseline cumulative hazard is averaged across listing-center strata by model-cohort center distribution."
output/figures/pollution_absolute_1yr_survival_maps/figure_pollution_absolute_1yr_risk_maps_lung.png,"ZCTA maps of model-implied 1-year risk of death/deterioration. The all-organ panel displays within-organ relative risk levels to emphasize geographic pattern despite different baseline failure rates across organs; individual organ panels retain absolute percent-risk legends. Predictions use single-pollutant prior-year cause-specific Cox models adjusted for age, sex, race, ZCTA SVI proxy, and center-stratified baseline hazards. Covariates are fixed at organ-specific reference values and the 365-day baseline cumulative hazard is averaged across listing-center strata by model-cohort center distribution."
output/figures/pollution_absolute_1yr_survival_maps/figure_pollution_absolute_1yr_risk_maps_kidney.pdf,"ZCTA maps of model-implied 1-year risk of death/deterioration. The all-organ panel displays within-organ relative risk levels to emphasize geographic pattern despite different baseline failure rates across organs; individual organ panels retain absolute percent-risk legends. Predictions use single-pollutant prior-year cause-specific Cox models adjusted for age, sex, race, ZCTA SVI proxy, and center-stratified baseline hazards. Covariates are fixed at organ-specific reference values and the 365-day baseline cumulative hazard is averaged across listing-center strata by model-cohort center distribution."
output/figures/pollution_absolute_1yr_survival_maps/figure_pollution_absolute_1yr_risk_maps_liver.pdf,"ZCTA maps of model-implied 1-year risk of death/deterioration. The all-organ panel displays within-organ relative risk levels to emphasize geographic pattern despite different baseline failure rates across organs; individual organ panels retain absolute percent-risk legends. Predictions use single-pollutant prior-year cause-specific Cox models adjusted for age, sex, race, ZCTA SVI proxy, and center-stratified baseline hazards. Covariates are fixed at organ-specific reference values and the 365-day baseline cumulative hazard is averaged across listing-center strata by model-cohort center distribution."
output/figures/pollution_absolute_1yr_survival_maps/figure_pollution_absolute_1yr_risk_maps_heart.pdf,"ZCTA maps of model-implied 1-year risk of death/deterioration. The all-organ panel displays within-organ relative risk levels to emphasize geographic pattern despite different baseline failure rates across organs; individual organ panels retain absolute percent-risk legends. Predictions use single-pollutant prior-year cause-specific Cox models adjusted for age, sex, race, ZCTA SVI proxy, and center-stratified baseline hazards. Covariates are fixed at organ-specific reference values and the 365-day baseline cumulative hazard is averaged across listing-center strata by model-cohort center distribution."
output/figures/pollution_absolute_1yr_survival_maps/figure_pollution_absolute_1yr_risk_maps_lung.pdf,"ZCTA maps of model-implied 1-year risk of death/deterioration. The all-organ panel displays within-organ relative risk levels to emphasize geographic pattern despite different baseline failure rates across organs; individual organ panels retain absolute percent-risk legends. Predictions use single-pollutant prior-year cause-specific Cox models adjusted for age, sex, race, ZCTA SVI proxy, and center-stratified baseline hazards. Covariates are fixed at organ-specific reference values and the 365-day baseline cumulative hazard is averaged across listing-center strata by model-cohort center distribution."
